T;pressure;atom_n;n0;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n24;n25;n26;n27;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n39;n40;n41;n42;n43;n44;n45;n46;n47;thermal_conductivity;shear_viscosity;bulk_viscosity
5;101325;1.32101e+27;1.46779e+26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00315834;2.13472e-06;3.89916e-09
10;101325;6.60504e+26;7.33893e+25;1.90759e-120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00539473;3.01894e-06;1.08591e-08
15;101325;4.40336e+26;4.89262e+25;4.29315e-72;5.89566e-168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00701095;3.69744e-06;1.96558e-08
20;101325;3.30252e+26;3.66947e+25;5.91601e-48;7.50492e-120;7.50478e-191;5.86934e-261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00832306;4.26943e-06;3.01169e-08
25;101325;2.64202e+26;2.93557e+25;1.71251e-33;5.2034e-91;8.24672e-148;6.82944e-204;2.96152e-259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00945249;4.77337e-06;4.21074e-08
30;101325;2.20168e+26;2.44631e+25;7.24651e-24;8.49194e-72;3.94156e-119;7.25697e-166;5.30921e-212;1.54659e-257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0104582;5.22896e-06;5.54917e-08
35;101325;1.88715e+26;2.09684e+25;5.31873e-17;4.3852e-58;1.1764e-98;1.02816e-138;2.93192e-178;2.73269e-217;8.3413e-256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0113734;5.64793e-06;7.0142e-08
40;101325;1.65126e+26;1.83473e+25;7.36692e-12;8.29745e-48;2.62386e-83;2.33215e-118;5.83394e-153;4.11358e-187;8.18998e-221;4.61309e-254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0122188;6.03789e-06;8.59419e-08
45;101325;1.46779e+26;1.63087e+25;7.24712e-08;8.05534e-40;2.24143e-71;1.56285e-102;2.73379e-133;1.20133e-163;1.32823e-193;3.70125e-223;2.60444e-252;4.60177e-281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0130083;6.40415e-06;1.02787e-07
50;101325;1.32101e+26;1.46779e+25;0.000112107;1.95416e-33;7.77959e-62;7.07961e-90;1.47426e-117;7.03365e-145;7.69894e-172;1.93641e-198;1.12106e-224;1.4967e-250;4.61756e-276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0137518;6.75056e-06;1.20586e-07
55;101325;1.20092e+26;1.33435e+25;0.0452109;3.24336e-28;4.92958e-54;1.58869e-79;1.08667e-104;1.57931e-129;4.8831e-154;3.21657e-178;4.52103e-202;1.35823e-225;8.73789e-249;1.20618e-271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0144564;7.08005e-06;1.39253e-07
60;101325;1.10084e+26;1.22316e+25;6.65718;7.20658e-24;1.5526e-47;6.66198e-71;5.69824e-94;9.72553e-117;3.31605e-139;2.26166e-161;3.08995e-183;8.46985e-205;4.66595e-226;5.17542e-247;1.15812e-267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0151279;7.39487e-06;1.58716e-07
