T;pressure;atom_n;n0;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n24;n25;n26;n27;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n39;n40;n41;n42;n43;n44;n45;n46;n47;thermal_conductivity;shear_viscosity;bulk_viscosity
5;25331.2;0.9;3.66947e+25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00315834;2.13472e-06;3.89916e-09
10;25331.2;0.9;1.83473e+25;4.76897e-121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00539473;3.01894e-06;1.08591e-08
15;25331.2;0.9;1.22316e+25;1.07329e-72;1.47392e-168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00701095;3.69744e-06;1.96558e-08
20;25331.2;0.9;9.17367e+24;1.479e-48;1.87623e-120;1.8762e-191;1.46734e-261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00832306;4.26943e-06;3.01169e-08
25;25331.3;0.9;7.33893e+24;4.28128e-34;1.30085e-91;2.06168e-148;1.70736e-204;7.4038e-260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00945249;4.77337e-06;4.21074e-08
30;25331.2;0.9;6.11578e+24;1.81163e-24;2.12299e-72;9.85391e-120;1.81424e-166;1.3273e-212;3.86647e-258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0104582;5.22896e-06;5.54917e-08
35;25331.3;0.9;5.24209e+24;1.32968e-17;1.0963e-58;2.94101e-99;2.57039e-139;7.3298e-179;6.83172e-218;2.08532e-256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0113734;5.64793e-06;7.0142e-08
40;25331.2;0.9;4.58683e+24;1.84173e-12;2.07436e-48;6.55965e-84;5.83036e-119;1.45848e-153;1.0284e-187;2.0475e-221;1.15327e-254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0122188;6.03789e-06;8.59419e-08
45;25331.3;0.9;4.07718e+24;1.81178e-08;2.01384e-40;5.60357e-72;3.90711e-103;6.83449e-134;3.00333e-164;3.32058e-194;9.25312e-224;6.5111e-253;1.15044e-281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0130083;6.40415e-06;1.02787e-07
50;25331.3;0.9;3.66947e+24;2.80268e-05;4.8854e-34;1.9449e-62;1.7699e-90;3.68565e-118;1.75841e-145;1.92474e-172;4.84103e-199;2.80264e-225;3.74176e-251;1.15439e-276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0137518;6.75056e-06;1.20586e-07
55;25331.3;0.9;3.33588e+24;0.0113027;8.1084e-29;1.2324e-54;3.97173e-80;2.71668e-105;3.94828e-130;1.22078e-154;8.04143e-179;1.13026e-202;3.39557e-226;2.18447e-249;3.01546e-272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0144564;7.08005e-06;1.39253e-07
60;25331.2;0.9;3.05789e+24;1.6643;1.80165e-24;3.8815e-48;1.6655e-71;1.42456e-94;2.43138e-117;8.29014e-140;5.65415e-162;7.72488e-184;2.11746e-205;1.16649e-226;1.29386e-247;2.89531e-268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0151279;7.39487e-06;1.58716e-07
